place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year,state
pedda_adiserlapalle,577.744043206507,3693.29812382614,3.37835990338164,3689.91976392276,1092.9,7.2,safe,18700.0,87.0,17837.0,2023,Unknown
yerravalli,610.304067509502,2513.67619404185,26.7774729567829,2486.89872108507,448.02,15.85,safe,16136.0,375.0,15761.0,2023,Unknown
nandigam,697.780813784795,1773.65446885143,1773.65446885143,,696.61,696.61,safe,11425.0,10710.72921,0.0,2023,Andhra Pradesh
singareni,1098.349867357,2513.48683589586,2513.48683589586,,1583.88,1583.88,safe,23246.61,22781.6778,0.0,2023,Unknown
nadigudem,794.662413793104,2092.62124778543,573.379547561721,1519.24170022371,636.14,238.5,safe,11758.0,4962.0,6783.0,2023,Unknown
mahabubnagar_rural,675.573180127589,2340.52373920581,2340.52373920581,,1345.26,1345.26,safe,16628.0987454472,16577.0987454472,0.0,2023,Unknown
metpalle,1038.91979168077,3748.62906381918,1009.15977612109,2739.46928769809,1444.74,727.35,safe,21309.0,9864.7,9105.3,2023,Unknown
ramachandrapuram,846.4,771.783952204638,771.783952204638,,393.43,393.43,safe,7176.5223,7011.5223,0.0,2023,Unknown
nizamsagar,1003.44194582252,1461.45832224321,1357.35474241314,104.10357983007,617.44,570.51,safe,7972.07100069041,7082.44984363739,385.908539053015,2023,Madhya Pradesh
nampally,830.089472959324,315.370213938114,315.370213938114,,285.42,285.42,critical,1071.0,1071.0,0.0,2023,Unknown
nagalgidda,834.624901469629,1218.09773381714,1218.09773381714,,217.14,217.14,safe,15141.45,12889.45,0.0,2023,Unknown
suryapet,801.503812077407,7009.58017482866,783.369296462597,6226.21087836606,1373.82,433.45,safe,21445.0,9096.0,12349.0,2023,Unknown
raghunadhapalem,1086.7088179826,3030.41176601705,2861.77064263036,168.641123386697,2814.68,2718.59,over_exploited,19340.24,18376.7952,595.0,2023,Unknown
alair,763.769189725908,3540.61366250943,3540.61366250943,,3246.59,3246.59,over_exploited,18544.3312651464,18544.3312651464,0.0,2023,Andhra Pradesh
rajampet,956.738777395043,1947.79241654422,1947.79241654422,,1073.81,1073.81,safe,12199.9190611089,11481.0806891089,0.0,2023,Unknown
devaruppala,843.982396337801,4424.687600396,317.957705781491,4106.72989461451,1886.7,189.75,safe,23123.0,2375.0,19934.0,2023,Unknown
narsapur,912.472493239202,2924.66385057298,2924.66385057298,,2046.92,2046.92,semi_critical,17808.96,15936.47668,0.0,2023,Unknown
nidamanur,759.91377069522,5761.72956656484,222.811928402567,5538.91763816227,1870.88,228.8,safe,21221.0,1489.0,19732.0,2023,Unknown
tamsi,1099.79663960812,1882.56481373957,1882.56481373957,,694.62,694.62,safe,14030.0,12240.2,0.0,2023,Unknown
midjil,625.782183027388,1990.03279720807,1990.03279720807,,1588.08,1588.08,semi_critical,16287.127883448,16011.127883448,0.0,2023,Unknown
mangapet,1321.67905569624,6616.78125132162,2291.74125132162,4325.04,3451.5,1539.61,safe,32200.08,16367.14,15514.45,2023,Unknown
pitlam,988.357191721182,3321.12792777399,3321.12792777399,,1418.17,1418.17,safe,18261.365034399,18010.055028399,0.0,2023,Unknown
nizamabad_south,1052.94791734995,99.9762911379036,,99.9762911379036,165.13,,over_exploited,389.0,0.0,272.0,2023,Telangana
vemulawada,1105.49775638387,2334.22813819199,2334.22813819199,,1378.95,1378.95,safe,8690.0,8516.7,0.0,2023,Unknown
gajwel,770.235246988209,4427.94497596208,4427.94497596208,,2367.05,2367.05,safe,21577.048148,20150.048148,0.0,2023,Unknown
dhoolmitta,674.448402586902,1102.28631274668,1102.28631274668,,734.56,734.56,semi_critical,7069.86442,7030.86442,0.0,2023,Unknown
machareddy,960.034889059985,2393.75180115927,2393.75180115927,,1406.57,1406.57,safe,14468.6065340494,14038.9705820494,0.0,2023,Unknown
laxmidevipalli,1118.80795493124,2705.88309333797,2705.88309333797,,824.49,824.49,safe,28511.722238377,27086.1361264581,0.0,2023,Unknown
rajendranagar,733.154157748162,621.329062251842,621.329062251842,,512.12,512.12,critical,5528.310468,5422.692108,0.0,2023,Unknown
vetapalem,984.0,1392.78,0.0,1392.78,479.75,,safe,8728.0,0.0,8728.0,2023,Unknown
gannavaram,906.2,7670.88,0.0,7670.88,1824.53,,safe,18806.0,0.0,18806.0,2023,Unknown
chilamathur,515.2,2799.86,2783.41,16.45,1528.18,1528.18,safe,22770.0,20698.0,0.0,2023,Unknown
dhone,544.0,2864.4,2864.38,0.02,803.97,803.97,safe,43026.0,40462.0,0.0,2023,Unknown
chandragiri,1020.53,5176.23,5176.23,0.0,1531.34,1531.34,safe,45556.0,42154.0,0.0,2023,Unknown
hiramandalam,1272.9,3275.56,2208.45,1067.11,864.63,552.22,safe,15282.23912,12177.22588,2405.01324,2023,Unknown
khajipet,758.5,2671.75,0.0,2671.75,1503.25,,safe,28766.0,0.0,23956.0,2023,Unknown
chagallu,1174.3,3336.4,3041.18,295.22,2277.98,2129.18,semi_critical,11330.0,9931.0,1399.0,2023,Unknown
proddutur,700.5,2394.22,329.28,2064.94,1147.29,155.27,safe,18674.992,3082.0,14672.992,2023,Unknown
makkuva,1110.0,6870.85,171.74,6699.11,1785.11,29.22,safe,18899.0,792.5,15730.7,2023,Unknown
yeleswaram,1168.3,3687.01,305.73,3380.04,1425.41,152.2,safe,11943.32,3207.89,7781.19,2023,Unknown
laxminarasampet,1060.7,2925.37,1541.9,1383.47,426.37,137.44,safe,14079.97124,9542.02328,4537.94796,2023,Unknown
pedacherlopalle,710.0,2572.85,2572.85,0.0,1066.28,1066.28,safe,35478.0,32183.0,0.0,2023,Unknown
korisapadu,864.6,1600.05,69.11,1530.94,403.9,27.55,safe,14965.0,363.0,14602.0,2023,Unknown
yadamari,878.8,1906.77,1906.77,0.0,952.5,952.5,safe,15417.0,15417.0,0.0,2023,Unknown
yeddanapudi,881.8,975.18,353.2,88.71,83.21,11.65,safe,10571.0,2367.0,1150.0,2023,Unknown
reddigudem,1000.6,3924.78,0.0,3924.78,2004.82,,safe,19202.0,0.0,18582.0,2023,Unknown
akiveedu,1044.8,4003.92,0.0,0.0,40.16,,salinity,12113.0,0.0,0.0,2023,Andhra Pradesh
pichatur,1015.2,3054.45,3054.45,0.0,1372.49,1372.49,safe,15074.0,13418.0,0.0,2023,Unknown
lingala,589.5,2464.47,267.3,2197.17,1535.72,244.81,safe,30013.0,3111.0,24483.0,2023,Unknown
kalidindi,988.799668818411,6528.21,193.66,1903.98,2.8,,salinity,17815.0,0.0,0.0,2023,Unknown
gajapathinagaram,1002.5,5352.1,1736.77,3615.33,1347.95,755.84,safe,15233.0,8069.37,6846.92,2023,Unknown
