place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
lunawada,728.94,8841.64,0.0,8841.64,3786.59,1431.27574394464,safe,62825.4375895,0.0,62825.4375895,2024
petlad,866.55,18477.44,0.0,18477.44,4331.01,1431.27574394464,safe,29990.3216477,0.0,29990.3216477,2024
nandod,982.0,18712.63,0.0,18712.63,14134.06,1431.27574394464,semi_critical,61397.2319404,0.0,55930.2319404,2024
umrala,686.55,5986.86,0.0,5986.86,3912.4,1431.27574394464,safe,40790.5177546,0.0,40790.5177546,2024
umergam,2243.73,11907.77,0.0,11907.77,1900.19,1431.27574394464,safe,38352.4600067,0.0,38352.4600067,2024
talaja,575.09,16919.11,0.0,16695.82,8561.26,1431.27574394464,safe,93777.9757266,0.0,83763.5346274429,2024
vinchchiya,557.0,9418.7,0.0,9418.7,7590.74,1431.27574394464,semi_critical,62534.8203575,0.0,62534.8203575,2024
una,1013.18,11692.49,0.0,10097.88,5359.05,1431.27574394464,safe,63987.8769464,0.0,55205.3888122127,2024
garbada,642.0,3706.84,0.0,3706.84,873.22,1431.27574394464,safe,36953.647453,0.0,34511.647453,2024
ahwa,2354.0,12365.17,0.0,12365.17,1454.62,1431.27574394464,safe,69651.115409,0.0,53133.115409,2024
chuda,617.45,7089.13,0.0,5551.94,5466.69,1431.27574394464,semi_critical,52298.8034583,0.0,38722.892461910706,2024
paddhari,558.09,9369.31,0.0,9369.31,8665.79,1431.27574394464,semi_critical,59015.3648419,0.0,47343.0491038705,2024
mendarda,1146.36,24609.98,0.0,24609.98,5912.4,1431.27574394464,safe,85332.5332929,0.0,85332.5332929,2024
lalpur,738.0,24291.85,0.0,24291.85,9011.04,1431.27574394464,safe,110124.9681895,0.0,110025.9681895,2024
lakhtar,632.82,11206.31,0.0,3215.15,1333.19,1431.27574394464,safe,74380.9627634,0.0,30199.5631083695,2024
mundra,652.36,14436.1,0.0,9252.21,9204.0,1431.27574394464,safe,106787.849196,0.0,49317.8664942668,2024
dabhoi,1006.0,18253.84,0.0,18253.84,8103.77,1431.27574394464,safe,63439.4311315,0.0,63439.4311315,2024
ranpur,645.0,16309.29,0.0,14039.41,5545.81,1431.27574394464,safe,47708.5813481,0.0,40995.7521726003,2024
vanthali,1210.27,14202.09,0.0,14202.09,5842.12,1431.27574394464,safe,39176.639035,0.0,39176.639035,2024
mahuva,811.45,20766.79,0.0,20595.46,10606.34,1431.27574394464,safe,103254.7217811,0.0,94136.0504813292,2024
godhra,957.09,16899.52,0.0,16899.52,2690.74,1431.27574394464,safe,76844.9688392,0.0,76844.9688392,2024
visavadar,1541.09,36646.08,0.0,36646.08,12932.83,1431.27574394464,safe,89436.3535662,0.0,89436.3535662,2024
shehra,868.82,11442.97,0.0,11442.97,1871.95,1431.27574394464,safe,62920.5790504,0.0,62920.5790504,2024
meghraj,918.82,18892.58,0.0,18892.58,5950.05,1431.27574394464,safe,55289.384501,0.0,55146.324501,2024
satlasana,798.18,7436.18,0.0,7436.18,8105.43,1431.27574394464,over_exploited,31379.963201,0.0,28951.963201,2024
mandvi,1514.0,26154.6,0.0,26154.6,6626.35,1431.27574394464,safe,72997.3310726,0.0,72997.3310726,2024
bhesan,866.36,10685.95,0.0,10685.95,7182.1,1431.27574394464,semi_critical,43836.8556553,0.0,43836.8556553,2024
borsad,929.27,18315.49,0.0,18315.49,6919.47,1431.27574394464,safe,43153.4941647,0.0,43153.4941647,2024
jafrabad,737.64,4261.72,0.0,3948.55,2567.48,1431.27574394464,safe,36461.6867872,0.0,34717.7559584804,2024
abdasa,505.36,18456.0,0.0,10004.71,7360.95,1431.27574394464,safe,268985.7319022,0.0,141715.413049818,2024
ahmedabad urban,810.0,2132.71,0.0,2132.71,835.15,1431.27574394464,safe,49642.4922577,0.0,49642.4922577,2024
kheda,785.0,9590.7,0.0,3750.09,5303.57,1431.27574394464,safe,30274.175578,0.0,5031.0128698633,2024
