place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
ramnagar,1110.78,6769.78,0,6769.78,4042.76,2485.773266,safe,23480,0,23480,2022,Unknown
dholana,788.32,9305.86,0,9305.86,7451.23,2485.773266,semi_critical,23801,0,23801,2022,Unknown
kanpur city,709.6,4580.49,0,4580.49,3997.41,2485.773266,critical,27887,0,27887,2022,Uttar Pradesh
airaya,746.9,5689.38,0,5689.38,3996.15,2485.773266,semi_critical,32066,0,32066,2022,Tamil Nadu
vijayipur,746.9,9188.42,0,9188.42,4390.06,2485.773266,safe,36111,0,36111,2022,Unknown
motigarpur,887.59,3869.72,0,3869.72,2200.2,2485.773266,safe,12274,0,12274,2022,Unknown
sohaon,922.03,4704.86,0,4704.86,2747.12,2485.773266,safe,15538,0,15538,2022,Unknown
pure dalai,978.39,9951.72,0,9951.72,5311.52,2485.773266,safe,28880,0,28880,2022,Unknown
sumerpur,735.88,8065.07,0,8065.07,5609.52,2485.773266,semi_critical,58997,0,58997,2022,Unknown
etmadpur,614.65,4771.54,0,4771.54,5926.46,2485.773266,over_exploited,21902,0,21902,2022,Unknown
gainsara,1065.2,6161.58,0,6161.58,3623.28,2485.773266,safe,16782,0,16782,2022,Unknown
lalganj,900.26,6599.18,0,6599.18,3437.64,2485.773266,safe,21299,0,21299,2022,Unknown
takha,587.48,7676.31,0,7676.31,3495.54,2485.773266,safe,27853,0,27853,2022,Nagaland
martinganj,900.26,8714.64,0,8714.64,4780.25,2485.773266,safe,23235,0,23235,2022,Unknown
bhojpur,729.83,9489.63,0,9489.63,11442.23,2485.773266,over_exploited,26407,0,26407,2022,Unknown
gaindas buzurg,1065.2,11197.57,0,11197.57,6051.55,2485.773266,safe,54500,0,54500,2022,Unknown
haidergarh,978.39,10430.26,0,10430.26,6055.11,2485.773266,safe,31117,0,31117,2022,Unknown
bharthna,587.48,11306.04,0,11306.04,4676.33,2485.773266,safe,27558,0,27558,2022,Unknown
akbarpur,1013.3,11825.99,0,11825.99,6546.54,2485.773266,safe,41216,0,41216,2022,Bihar
gauri bazar,1086.19,9021.72,0,9021.72,5010.26,2485.773266,safe,16917,0,16917,2022,Unknown
deokali,853.77,7692.68,0,7692.68,4364.31,2485.773266,safe,22119,0,22119,2022,Unknown
achhnera,614.65,11828.57,0,11828.57,9165.96,2485.773266,semi_critical,28212,0,28212,2022,Uttar Pradesh
pipraich,1338.3,10334.96,0,10334.96,5945.93,2485.773266,safe,14853,0,14853,2022,Unknown
bidhuna,624.88,7608.6,0,7608.6,4148.28,2485.773266,safe,33971,0,33971,2022,Unknown
manikpur,943.2,10439.37,0,10439.37,5350.62,2485.773266,safe,104184,0,104184,2022,Unknown
baba belkhar nath,837.75,5001.7,0,5001.7,3496.83,2485.773266,semi_critical,18467,0,18467,2022,Unknown
gunnaur,784.54,6140.28,0,6140.28,4460.26,2485.773266,semi_critical,30146,0,30146,2022,Unknown
bilsanda,1201.27,13221.69,0,13221.69,7623.52,2485.773266,safe,36510,0,36510,2022,Unknown
majhgawa,877.86,4408.45,0,4408.45,3448.33,2485.773266,semi_critical,17201,0,17201,2022,Unknown
mohammadabad,897.3,4065.47,0,4065.47,2521.81,2485.773266,safe,18341,0,18341,2022,Unknown
bharawan,816.35,7794.38,0,7794.38,3620.02,2485.773266,safe,29950,0,29950,2022,Unknown
maholi,991.26,8869.82,0,8869.82,4811.66,2485.773266,safe,24003,0,24003,2022,Unknown
mauaima,843.09,5944.91,0,5944.91,4543.89,2485.773266,semi_critical,15560,0,15560,2022,Unknown
dhanpur (alhepur),1053.5,9134.27,0,9134.27,5524.01,2485.773266,safe,31934,0,31934,2022,Unknown
gohand,735.88,5521.47,0,5521.47,3951.48,2485.773266,semi_critical,50714,0,50714,2022,Unknown
rewsa,991.26,11395.15,0,11395.15,6687.4,2485.773266,safe,43121,0,43121,2022,Unknown
khajuha,746.9,9770.86,0,9770.86,7137.18,2485.773266,semi_critical,33248,0,33248,2022,Unknown
velhar kalan,1253.92,3815.07,0,3815.07,1954.8,2485.773266,safe,12258,0,12258,2022,Unknown
sadhauli kadeem,1102.65,16707.08,0,16707.08,13301.08,2485.773266,semi_critical,41560,0,41560,2022,Unknown
belhari,922.03,3664.77,0,3664.77,2079.27,2485.773266,safe,15787,0,15787,2022,Unknown
chilkahar,922.03,7186.69,0,7186.69,4465.49,2485.773266,safe,18870,0,18870,2022,Unknown
fatehpur chaurasi,765.68,9958.25,0,9958.25,5225.72,2485.773266,safe,27654,0,27654,2022,Unknown
dhanupur,843.09,6665.4,0,6665.4,5128.84,2485.773266,semi_critical,17322,0,17322,2022,Unknown
jai singhpur,887.59,7927.2,0,7927.2,4945.84,2485.773266,safe,22575,0,22575,2022,Unknown
ratanpura,897.3,5284.26,0,5284.26,2933.76,2485.773266,safe,20105,0,20105,2022,Unknown
balha,1158.8,11982.64,0,11982.64,5338.56,2485.773266,safe,30089,0,30089,2022,Unknown
naugarh,1158.57,4726.38,0,4726.38,2778.18,2485.773266,safe,13962,0,13962,2022,Unknown
baskhari,1013.3,6879.27,0,6879.27,4488.12,2485.773266,safe,20457,0,20457,2022,Unknown
baniakhera,784.54,6116.46,0,6116.46,5390.97,2485.773266,critical,30197,0,30197,2022,Unknown
sirkoni,901.72,3723.9,0,3723.9,2679.87,2485.773266,semi_critical,15315,0,15315,2022,Unknown
babhanjot,1047,5689.38,0,5689.38,3376.68,2485.773266,safe,22466,0,22466,2022,Unknown
dhanipur,667.47,9634.79,0,9634.79,5949.73,2485.773266,safe,28332,0,28332,2022,Unknown
rajpur,670.38,7288.95,0,7288.95,3751.1,2485.773266,safe,27429,0,27429,2022,Madhya Pradesh
kachhauna,816.35,8628.33,0,8628.33,4532.25,2485.773266,safe,25130,0,25130,2022,Unknown
dewa,978.39,17060.33,0,17060.33,9779.67,2485.773266,safe,26125,0,26125,2022,Madhya Pradesh
bareilly city,877.86,2225.52,0,2225.52,4124.07,2485.773266,over_exploited,13283,0,13283,2022,Uttar Pradesh
bansdih,922.03,5154.85,0,5154.85,2781.37,2485.773266,safe,17170,0,17170,2022,Unknown
kasmanda,991.26,11107.17,0,11107.17,6416.52,2485.773266,safe,27658,0,27658,2022,Unknown
shamsabad,614.65,4139.53,0,4139.53,7185.26,2485.773266,over_exploited,26414,0,26414,2022,Unknown
phulpur,843.09,5308.18,0,5308.18,4152.15,2485.773266,semi_critical,17495,0,17495,2022,Unknown
haisar bazar,1253.92,7363.05,0,7363.05,3930.18,2485.773266,safe,22968,0,22968,2022,Unknown
hata,1112,10759.64,0,10759.64,4412.38,2485.773266,safe,16814,0,16814,2022,Unknown
cholapur,925.78,8058.5,0,8058.5,4084.38,2485.773266,safe,17937,0,17937,2022,Unknown
madanapur,898.18,7316.36,0,7316.36,4298.4,2485.773266,safe,27976,0,27976,2022,Unknown
sathiyaon,900.26,3877.82,0,3877.82,2435.76,2485.773266,safe,16416,0,16416,2022,Unknown
lakshmipur,1389.1,9240.85,0,9240.85,5454.01,2485.773266,safe,22040,0,22040,2022,Unknown
shamli,869.1,9032.7,0,9032.7,10219.97,2485.773266,over_exploited,21873,0,21873,2022,Unknown
saiyana,614.65,5551.1,0,5551.1,5625.1,2485.773266,over_exploited,22849,0,22849,2022,Unknown
mariahu,901.72,7292.94,0,7292.94,4573.02,2485.773266,safe,21841,0,21841,2022,Unknown
ahirori,816.35,12516.4,0,12516.4,6912.17,2485.773266,safe,37090,0,37090,2022,Bihar
kurara,735.88,4976.07,0,4976.07,2743.29,2485.773266,safe,43214,0,43214,2022,Unknown
asodhar,746.9,11270.57,0,11270.57,4994.11,2485.773266,safe,41391,0,41391,2022,Madhya Pradesh
sandalpur,670.38,5321.65,0,5321.65,3013.82,2485.773266,safe,30005,0,30005,2022,Unknown
mianganj,765.68,13930.65,0,13930.65,8196.44,2485.773266,safe,27395,0,27395,2022,Unknown
mawai,952.71,8670.98,0,8670.98,4694.93,2485.773266,safe,23860,0,23860,2022,Unknown
lar,1086.19,12292.64,0,12292.64,6492.83,2485.773266,safe,18903,0,18903,2022,Madhya Pradesh
varanasi city,925.78,2571.52,0,2571.52,5166.38,2485.773266,over_exploited,15957,0,15957,2022,Uttar Pradesh
charkhari,809.7,5566,0,5566,4195.05,2485.773266,semi_critical,71451,0,71451,2022,Unknown
chamrauwa,1051.61,8516.49,0,8516.49,6358.12,2485.773266,semi_critical,21558,0,21558,2022,Unknown
bahjoi,784.54,4145.64,0,4145.64,3866.68,2485.773266,critical,25366,0,25366,2022,Unknown
baharia,843.09,5735.37,0,5735.37,3604.87,2485.773266,safe,13345,0,13345,2022,Unknown
kaptanganj,1112,11716.3,0,11716.3,6056.53,2485.773266,safe,18550,0,18550,2022,Unknown
sadar,837.75,7818.8,0,7818.8,6871.31,2485.773266,critical,21576,0,21576,2022,Unknown
itwa,1158.57,8204.53,0,8204.53,5107.95,2485.773266,safe,24921,0,24921,2022,Unknown
daurala,856.89,5695.51,0,5695.51,3542.22,2485.773266,safe,18702,0,18702,2022,Unknown
tarwa,900.26,7058.24,0,7058.24,4387.13,2485.773266,safe,21980,0,21980,2022,Unknown
jaithara,658.23,8645.67,0,8645.67,5818.2,2485.773266,semi_critical,30806,0,30806,2022,Unknown
jawa sikandairpur,667.47,7662.88,0,7662.88,6174.91,2485.773266,semi_critical,30059,0,30059,2022,Madhya Pradesh
maniyar,922.03,6126.8,0,6126.8,3835.83,2485.773266,safe,17036,0,17036,2022,Unknown
safipur,765.68,8778.76,0,8778.76,5260.31,2485.773266,safe,25599,0,25599,2022,Unknown
mahuva,943.2,10283.67,0,10283.67,4652.42,2485.773266,safe,50714,0,50714,2022,Unknown
faridpur,877.86,9839.09,0,9839.09,5897.38,2485.773266,safe,32813,0,32813,2022,Unknown
bangarmau,765.68,7434.04,0,7434.04,4281.66,2485.773266,safe,25320,0,25320,2022,Unknown
amethi,853,5756.97,0,5756.97,3599.55,2485.773266,safe,16236,0,16236,2022,Unknown
binauli,674.757451,6928.79,0,6928.79,7064.32,2485.773266,over_exploited,29106,0,29106,2022,Unknown
kurawali,659.74,9460.01,0,9460.01,5890.99,2485.773266,safe,28079,0,28079,2022,Unknown
dhanaura,1805.18,13546.67,0,13546.67,11334.83,2485.773266,critical,40966,0,40966,2022,Unknown
bhitargaon,709.6,8056.35,0,8056.35,4104.38,2485.773266,safe,31619,0,31619,2022,Unknown
noorpur,1053.5,10510.52,0,10510.52,8401.38,2485.773266,semi_critical,33226,0,33226,2022,Unknown
chakia,949.06,5106.23,0,5106.23,3174.79,2485.773266,safe,20724,0,20724,2022,Unknown
pura bazar,952.71,8807.13,0,8807.13,4873.42,2485.773266,safe,23043,0,23043,2022,Unknown
barahalganj,1338.3,8941.73,0,8941.73,5497.74,2485.773266,safe,21363,0,21363,2022,Unknown
bachrawan,748.3,10881.55,0,10881.55,6404.25,2485.773266,safe,27162,0,27162,2022,Unknown
raya,556.89,14534.73,0,14534.73,15127.68,2485.773266,over_exploited,34139,0,34139,2022,Madhya Pradesh
derapur,670.38,8008.39,0,8008.39,5718.01,2485.773266,semi_critical,27276,0,27276,2022,Unknown
agra city,614.65,3944.31,0,3944.31,4044.87,2485.773266,over_exploited,14197,0,14197,2022,Uttar Pradesh
shahpur,869.1,6039.55,0,6039.55,5158.92,2485.773266,semi_critical,24354,0,24354,2022,Unknown
atraulia,900.26,3704.15,0,3704.15,2246.92,2485.773266,safe,13502,0,13502,2022,Unknown
deegh,949.6,42445.16,0,42445.16,29212.42,2485.773266,semi_critical,21253,0,21253,2022,Unknown
kyara,877.86,6264.18,0,6264.18,3491.83,2485.773266,safe,27803,0,27803,2022,Unknown
santha,1253.92,6142.26,0,6142.26,3697.55,2485.773266,safe,19366,0,19366,2022,Unknown
uruwan,843.09,6053.92,0,6053.92,3651.36,2485.773266,safe,16890,0,16890,2022,Unknown
machhrehta,991.26,7835.88,0,7835.88,3845.19,2485.773266,safe,27664,0,27664,2022,Unknown
nadigaon,687.2,11247.98,0,11247.98,5418.94,2485.773266,safe,56025,0,56025,2022,Unknown
baberu,943.2,12056.62,0,12056.62,8341.83,2485.773266,semi_critical,59041,0,59041,2022,Unknown
manjhanpur,846.45,5936.77,0,5936.77,4794.75,2485.773266,semi_critical,20016,0,20016,2022,Unknown
nawabganj,753.48,6085.37,0,6085.37,4502.42,2485.773266,semi_critical,25353,0,25353,2022,Unknown
mainpuri,659.74,12593.28,0,12593.28,9353.97,2485.773266,semi_critical,39398,0,39398,2022,Odisha
jarwal,1158.8,8013.74,0,8013.74,4309.45,2485.773266,safe,28197,0,28197,2022,Unknown
baldirai,887.59,6931.38,0,6931.38,3731.86,2485.773266,safe,22418,0,22418,2022,Unknown
shivrajapur,709.6,9200.21,0,9200.21,6642.91,2485.773266,semi_critical,24163,0,24163,2022,Unknown
nandgaon,556.89,15730.41,0,15730.41,6149.32,2485.773266,safe,32736,0,32736,2022,Chhattisgarh
nigohi,898.18,10122.84,0,10122.84,6196.67,2485.773266,safe,30939,0,30939,2022,Unknown
kalyanpur,709.6,9106.12,0,9106.12,4375.14,2485.773266,safe,21789,0,21789,2022,Unknown
jakhora,909.89,7525.33,0,7525.33,5804.61,2485.773266,semi_critical,74677,0,97719,2022,Unknown
kothawan,816.35,9672.55,0,9672.55,5091.21,2485.773266,safe,30130,0,30130,2022,Unknown
jaitpur,898.18,6940.27,0,6940.27,4323.74,2485.773266,safe,23172,0,23172,2022,Unknown
dudhahi,1112,11846.82,0,11846.82,3773.09,2485.773266,safe,22680,0,22680,2022,Unknown
sandi,816.35,7275.36,0,7275.36,4599.56,2485.773266,safe,30307,0,30307,2022,Unknown
baghpat,674.757451,5559.59,0,5559.59,4420.1,2485.773266,semi_critical,21063.32,0,21063.32,2022,Unknown
nedua naurangiya,1112,14407.65,0,14407.65,6768.56,2485.773266,safe,21130,0,21130,2022,Unknown
rohaniya,748.3,3766.75,0,3766.75,1845.42,2485.773266,safe,16815,0,16815,2022,Unknown
mihipurwa,1158.8,13590.03,0,13590.03,7623.76,2485.773266,safe,59547,0,59547,2022,Unknown
dubauliya,1110.78,3901.61,0,3901.61,2437.51,2485.773266,safe,13632,0,13632,2022,Unknown
nidhauli kalan,658.23,13335.69,0,13335.69,9609.78,2485.773266,semi_critical,34678,0,34678,2022,Unknown
hastinapur,856.89,14854.51,0,14854.51,9945.02,2485.773266,semi_critical,34328,0,34328,2022,Unknown
salarpur,784.54,4911.03,0,4911.03,3019.52,2485.773266,safe,24633,0,24633,2022,Unknown
kaurihar,843.09,4159.1,0,4159.1,2734.42,2485.773266,safe,12976,0,12976,2022,Unknown
dadri,537.16,11117.64,0,11117.64,8778.62,2485.773266,semi_critical,47382,0,47382,2022,Unknown
purqaji,869.1,18234.5,0,18234.5,11889.07,2485.773266,safe,29202,0,29202,2022,Unknown
bhender kalan,816.35,8728.54,0,8728.54,5175.52,2485.773266,safe,27220,0,27220,2022,Unknown
kamalganj,753.48,6141.42,0,6141.42,4359.77,2485.773266,semi_critical,31457,0,31457,2022,Unknown
rampur maniharan,1102.65,8808.26,0,8808.26,7155.49,2485.773266,semi_critical,23132,0,23132,2022,Unknown
sangrampur,853,3811.59,0,3811.59,2652.03,2485.773266,semi_critical,10176,0,10176,2022,Unknown
shringverpur dham,843.09,3398.69,0,3398.69,2736.2,2485.773266,semi_critical,12021,0,12021,2022,Unknown
chatra,973.09,4433.33,0,4433.33,2727.18,2485.773266,safe,23296,0,25981,2022,Unknown
nanauta,1102.65,10930.36,0,10930.36,8123.9,2485.773266,semi_critical,24013,0,24013,2022,Unknown
mau,943.2,7922.15,0,7922.15,6712.21,2485.773266,semi_critical,48583,0,48583,2022,Unknown
kashi vidyapith,925.78,4680.16,0,4680.16,3189.51,2485.773266,semi_critical,14340,0,14340,2022,Unknown
bhaghara,869.1,9797.94,0,9797.94,10039.8,2485.773266,over_exploited,23873,0,23873,2022,Unknown
dalmau,748.3,7495.91,0,7495.91,4411.45,2485.773266,safe,25095,0,25095,2022,Unknown
ambiapur,784.54,4839.06,0,4839.06,5288.81,2485.773266,over_exploited,29828,0,29828,2022,Unknown
khairabad,991.26,8400.48,0,8400.48,5256.53,2485.773266,safe,26542,0,26542,2022,Unknown
murli chhapra,922.03,4272.39,0,4272.39,2170.02,2485.773266,safe,14332,0,14332,2022,Unknown
danpur,673.13,8476.99,0,8476.99,8212.36,2485.773266,over_exploited,22185,0,22185,2022,Unknown
sahar,624.88,9137.37,0,9137.37,4922.67,2485.773266,safe,29919,0,29919,2022,Uttar Pradesh
sardar nagar,1338.3,9065.43,0,9065.43,5237.9,2485.773266,safe,13262,0,13262,2022,Unknown
parsendi,991.26,11046.68,0,11046.68,5568.45,2485.773266,safe,29062,0,29062,2022,Unknown
motichak,1112,10218.53,0,10218.53,5675.39,2485.773266,safe,16330,0,16330,2022,Unknown
atrauli,667.47,7711.47,0,7711.47,4998.29,2485.773266,safe,27460,0,27460,2022,Unknown
mithwal,1158.57,7191.11,0,7191.11,3676.12,2485.773266,safe,22761,0,22761,2022,Unknown
marhara,658.23,6865.81,0,6865.81,3702.7,2485.773266,safe,19504,0,19504,2022,Unknown
hilauli,765.68,7828.08,0,7828.08,4692.76,2485.773266,safe,31537,0,31537,2022,Unknown
parasrampur,1110.78,5629.33,0,5629.33,3414.48,2485.773266,safe,21241,0,21241,2022,Unknown
rehra bazar,1065.2,6977.63,0,6977.63,4228.3,2485.773266,safe,23709,0,23709,2022,Unknown
lotan,1158.57,4141.17,0,4141.17,2701.58,2485.773266,safe,12400,0,12400,2022,Unknown
shri datt ganj,1065.2,8038.22,0,8038.22,4249.95,2485.773266,safe,19147,0,19147,2022,Unknown
amanpur,724.77,13794.75,0,13794.75,7491.84,2485.773266,safe,39796,0,39796,2022,Unknown
karma,973.09,5299.09,0,5299.09,1470.07,2485.773266,safe,16285.37,0,29435,2022,Unknown
aurai,949.6,8439.14,0,8439.14,5435.16,2485.773266,semi_critical,18876,0,19859,2022,Unknown
manihari,853.77,9655.91,0,9655.91,5963.13,2485.773266,safe,22400,0,22400,2022,Unknown
mehdawal,1253.92,6435.08,0,6435.08,3659.44,2485.773266,safe,19617,0,19617,2022,Bihar
malawan,746.9,11085.09,0,11085.09,7784.39,2485.773266,semi_critical,39711,0,39711,2022,Unknown
tarun,952.71,9118.19,0,9118.19,5372.12,2485.773266,safe,27103,0,27103,2022,Unknown
laharpur,991.26,19112.12,0,19112.12,10472.27,2485.773266,safe,24388,0,24388,2022,Unknown
mohanlalganj,879.83,15273.78,0,15273.78,9962.34,2485.773266,safe,38257,0,38257,2022,Unknown
mangaraura,837.75,6627.16,0,6627.16,5074.11,2485.773266,semi_critical,16534,0,16534,2022,Unknown
firozabad,656.92,5339.23,0,5339.23,7932.31,2485.773266,over_exploited,26686,0,26686,2022,Uttar Pradesh
ailia,991.26,7189.07,0,7189.07,3712.02,2485.773266,safe,25842,0,25842,2022,Bihar
mathura,556.89,11908.1,0,11908.1,6668.29,2485.773266,safe,38223,0,38223,2022,Unknown
karhal,659.74,14870.17,0,14870.17,8884.24,2485.773266,safe,34596,0,34596,2022,Unknown
mohammadpur deomal,1053.5,15567.88,0,15567.88,8698.58,2485.773266,safe,50283,0,50283,2022,Unknown
khuniyaw,1158.57,9321.51,0,9321.51,5736.43,2485.773266,safe,28507,0,28507,2022,Unknown
lodha,667.47,6239.94,0,6239.94,4925.13,2485.773266,semi_critical,33381,0,33381,2022,Unknown
nawabganj,1047,8541.2,0,8541.2,4447.21,2485.773266,safe,32748,0,32748,2022,Unknown
quadar chowk,784.54,5957.51,0,5957.51,4569.71,2485.773266,semi_critical,28677,0,28677,2022,Unknown
chinhat,879.83,3260.21,0,3260.21,1878.36,2485.773266,safe,13374,0,13374,2022,Unknown
bichhia,765.68,14846.33,0,14846.33,7448.19,2485.773266,safe,33648,0,33648,2022,Unknown
chhatoh,748.3,5345.75,0,5345.75,2845,2485.773266,safe,17837,0,17837,2022,Unknown
bhagyanagar,624.88,10018.23,0,10018.23,5068.9,2485.773266,safe,26802,0,26802,2022,Unknown
said nagar,1051.61,5805.78,0,5805.78,4176.58,2485.773266,semi_critical,21478,0,21478,2022,Unknown
fatehpur,978.39,21901.21,0,21901.21,12621.78,2485.773266,safe,29266,0,29266,2022,Unknown
muskara,735.88,5091.54,0,5091.54,3004.84,2485.773266,safe,51398,0,51398,2022,Unknown
madhoganj,687.2,8902.23,0,8902.23,4404.78,2485.773266,safe,31213,0,31213,2022,Unknown
newada,846.45,6817.78,0,6817.78,5011.31,2485.773266,semi_critical,21893,0,21893,2022,Unknown
gograpur,714.62,2381.8,0,2381.8,1908.75,2485.773266,semi_critical,12262,0,12262,2022,Unknown
sikandrabad,673.13,12807.4,0,12807.4,14650.4,2485.773266,over_exploited,35758,0,35758,2022,Unknown
gola,1338.3,8062.91,0,8062.91,4821.11,2485.773266,safe,14229,0,14229,2022,Assam
khurja,673.13,9967.24,0,9967.24,8862.83,2485.773266,critical,34326,0,34326,2022,Unknown
rudauli,952.71,11660.12,0,11660.12,6545.87,2485.773266,safe,26890,0,26890,2022,Unknown
shivgarh,837.75,7952.37,0,7952.37,6715.97,2485.773266,critical,27491,0,27491,2022,Unknown
beruar,922.03,4505.61,0,4505.61,2596.86,2485.773266,safe,16056,0,16056,2022,Unknown
samrer,784.54,4449.83,0,4449.83,2918.57,2485.773266,semi_critical,21567,0,21567,2022,Unknown
bidhnu,709.6,9121.72,0,9121.72,6914.28,2485.773266,semi_critical,29634,0,29634,2022,Unknown
patti,837.75,6601.36,0,6601.36,4765.36,2485.773266,semi_critical,21675,0,21675,2022,Unknown
parichhatgarh,856.89,10101.01,0,10101.01,7166.77,2485.773266,semi_critical,38103,0,38103,2022,Unknown
mawana kalan,856.89,7231.14,0,7231.14,5176.13,2485.773266,semi_critical,20358,0,20358,2022,Unknown
dostpur,887.59,6925.69,0,6925.69,3653.94,2485.773266,safe,18392,0,18392,2022,Unknown
jaitpur,809.7,5537.83,0,5537.83,5426.53,2485.773266,over_exploited,51999,0,51999,2022,Unknown
baraut,674.757451,8758.99,0,8758.99,6157.34,2485.773266,semi_critical,27686.1,0,27686.1,2022,Unknown
janawai,784.54,6011.38,0,6011.38,3925.53,2485.773266,semi_critical,30005,0,30005,2022,Unknown
rajpura,784.54,6544.51,0,6544.51,4093.24,2485.773266,safe,30473,0,30473,2022,Unknown
richha,877.86,10972.9,0,10972.9,6864.03,2485.773266,safe,26620,0,26620,2022,Unknown
shivpur,1158.8,9526.81,0,9526.81,5727.41,2485.773266,safe,38005,0,38005,2022,Madhya Pradesh
siar,922.03,7398.72,0,7398.72,4526.67,2485.773266,safe,22302,0,22302,2022,Unknown
sahawar,724.77,10333.28,0,10333.28,5851.55,2485.773266,safe,24371,0,24371,2022,Unknown
lalaurikhera,1201.27,9952.75,0,9952.75,6206.99,2485.773266,safe,23267,0,23267,2022,Unknown
paraspur,1047,8016.48,0,8016.48,4876.2,2485.773266,safe,34920,0,34920,2022,Unknown
trivediganj,978.39,16522.39,0,16522.39,9272.09,2485.773266,safe,37640,0,37640,2022,Unknown
gyanpur,949.6,16882.45,0,16882.45,13251.2,2485.773266,semi_critical,13980,0,14378,2022,Unknown
pachperwa,1065.2,11074.41,0,11074.41,5924.67,2485.773266,safe,48284,0,48284,2022,Unknown
jahangirabad,673.13,13826.66,0,13826.66,10868.07,2485.773266,semi_critical,27491,0,27491,2022,Unknown
dakor,687.2,21978.62,0,21978.62,9179.63,2485.773266,safe,94931,0,94931,2022,Unknown
ujhani,784.54,7148.24,0,7148.24,5334.56,2485.773266,semi_critical,35881,0,35881,2022,Unknown
bharohiya,1338.3,4663.35,0,4663.35,2848.41,2485.773266,safe,11473,0,11473,2022,Unknown
rampur karhani,1086.19,7793.44,0,7793.44,4592.07,2485.773266,safe,13397,0,13397,2022,Unknown
kone,973.09,1887.4,0,1887.4,957.72,2485.773266,safe,6994.79,0,53726,2022,Unknown
ramkola,1112,14664.29,0,14664.29,6850.68,2485.773266,safe,18870,0,18870,2022,Unknown
madhavganj,816.35,7303.59,0,7303.59,3796.11,2485.773266,safe,30509,0,30509,2022,Unknown
jakhania,853.77,5606.39,0,5606.39,2880.8,2485.773266,safe,20363,0,20363,2022,Unknown
mujhana,1047,8487.05,0,8487.05,4500.44,2485.773266,safe,23085,0,23085,2022,Unknown
barhani,1158.57,5801.92,0,5801.92,3028.61,2485.773266,safe,18616,0,18616,2022,Unknown
siswa bazar,1389.1,8531.07,0,8531.07,5382.28,2485.773266,safe,20240,0,20240,2022,Unknown
iglas,667.47,6324.6,0,6324.6,5611.95,2485.773266,critical,24637,0,24637,2022,Unknown
bankeyganj,1130,20203.37,0,20203.37,11610.5,2485.773266,safe,35010,0,35010,2022,Unknown
robertsganj,973.09,14688.49,0,14688.49,5379.8,2485.773266,safe,34291.09,0,45733.71,2022,Unknown
chaka,843.09,4675.24,0,4675.24,3980.71,2485.773266,critical,13575,0,13575,2022,Unknown
banki,978.39,11242.19,0,11242.19,5851.42,2485.773266,safe,22402,0,22402,2022,Unknown
huzurpur,1158.8,9062.24,0,9062.24,5499.81,2485.773266,safe,24208,0,24208,2022,Unknown
akhand nagar,887.59,6698.41,0,6698.41,3556.09,2485.773266,safe,22051,0,22051,2022,Haryana
morna,869.1,14736.97,0,14736.97,8728.45,2485.773266,safe,38769,0,38769,2022,Unknown
piprauli,1338.3,7008.48,0,7008.48,4303.99,2485.773266,safe,15083,0,15083,2022,Unknown
pahala,991.26,20212.43,0,20212.43,10675.44,2485.773266,safe,28324,0,28324,2022,Unknown
garwar,922.03,5612.47,0,5612.47,3250.61,2485.773266,safe,16136,0,16136,2022,Unknown
dhani,1389.1,2647.45,0,2647.45,1360.31,2485.773266,safe,6300,0,6300,2022,Unknown
betalpur,1086.19,9708.8,0,9708.8,5438.08,2485.773266,safe,16139,0,16139,2022,Unknown
rampur-sangramgarh,837.75,6375.76,0,6375.76,4440.11,2485.773266,semi_critical,21036,0,21036,2022,Unknown
muzaffarabad,1102.65,15421.5,0,15421.5,12043.63,2485.773266,semi_critical,62690,0,62690,2022,Unknown
sikrara,901.72,3909.09,0,3909.09,2753.83,2485.773266,semi_critical,15558,0,15558,2022,Unknown
behta,991.26,9467.96,0,9467.96,5048.29,2485.773266,safe,36759,0,36759,2022,Unknown
chiraigaon,925.78,5519.28,0,5519.28,4707.67,2485.773266,critical,19599,0,19599,2022,Unknown
khairgarh(hathwant),656.92,7285.36,0,7285.36,7948.82,2485.773266,over_exploited,24172,0,24172,2022,Unknown
chahniya,949.06,7522.79,0,7522.79,2695.82,2485.773266,safe,27170,0,27170,2022,Unknown
mohammadi,1130,11773.07,0,11773.07,6377.41,2485.773266,safe,40585,0,40585,2022,Unknown
bhanwapur,1158.57,10274.95,0,10274.95,6234.47,2485.773266,safe,30675,0,30675,2022,Unknown
azamatgarh,900.26,6662.28,0,6662.28,3654.54,2485.773266,safe,20535,0,20535,2022,Unknown
pandri kripal,1047,5956,0,5956,3351.93,2485.773266,safe,14383,0,14383,2022,Unknown
mal,879.83,7422.66,0,7422.66,3888.63,2485.773266,safe,24570,0,24570,2022,Bihar
shukul bazar,853,5284.96,0,5284.96,3277.17,2485.773266,safe,19176,0,19176,2022,Unknown
dhaurahara,1130,9195.91,0,9195.91,5740.93,2485.773266,safe,32781,0,32781,2022,Unknown
islamnagar,784.54,5182.86,0,5182.86,5775.2,2485.773266,over_exploited,22374,0,22374,2022,Unknown
belghat,1338.3,10897.9,0,10897.9,6364.76,2485.773266,safe,22340,0,22340,2022,Unknown
uska bazar,1158.57,3882.75,0,3882.75,2197.41,2485.773266,safe,13220,0,13220,2022,Unknown
