place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
karmala,614.6747434,12176.10346,12070.86196,105.2415,8361.206985,8321.624985,semi_critical,263.4,165719.6,165983,2022,Unknown
peth,2154.555266,10666.82773,9730.440033,936.3876923,537.672654,497.7845771,safe,955,48692,49647,2022,Unknown
trambakeshwar,1929.573382,11970.24989,11894.62804,75.62185249,1302.744264,1290.062858,safe,406,67716,68122,2022,Unknown
lakhani,1557.1,6122.349346,4355.827501,1766.521845,3181.021423,2640.091162,safe,7356,39244,46600,2022,Unknown
amravati,872.4300473,8879.142188,7226.133569,611.2607519,6920.523612,5212.855892,semi_critical,1603,65442,80309,2022,Unknown
vengurla,3015.878329,1940.493775,1940.493775,3414.604293,929.3500717,929.3500717,safe,0,23110.32,23110.32,2022,Unknown
deori,1499.440154,9145.041029,8767.393299,377.6477301,1274.51648,1073.473476,safe,2403.67,78380.04,80783.71,2022,Unknown
mangrulpir,870.1006766,9636.892382,7831.936063,1804.956319,4961.074524,4436.273453,safe,6234.42,64774.11,71008.53,2022,Unknown
khatav,512.1,12150.86804,11298.63804,852.23,8964.269663,8685.509663,semi_critical,2064,124841,126905,2022,Unknown
jalgaon,693,8988.690763,8212.736928,775.9538346,4648.095146,4229.765973,safe,1141,82057,83198,2022,Unknown
babulgaon,1055.734906,5709.0895,5379.563185,329.5263149,2327.137832,2185.971317,safe,2831.84,50297.31,53129.15,2022,Unknown
sawali,1285.792583,8742.833264,3356.389167,5386.444097,2025.344217,1199.774819,safe,27814,31236,59050,2022,Unknown
malwan,3530.399728,3478.71313,3453.501887,25.21124302,1292.800108,1278.721217,safe,105,38003.97,38108.97,2022,Unknown
warora,1168.452807,12211.45077,10986.72077,1224.73,3884.258292,3327.258292,safe,5615,102775,108390,2022,Unknown
kurkheda,1456.274924,10468.75196,10468.75196,3414.604293,3183.707084,3183.707084,safe,0,76871.88,76871.88,2022,Unknown
karanja,960.7002347,8227.234579,7248.715172,978.5194075,5357.378057,4855.337956,safe,6195,54125,60320,2022,Unknown
dharni,1342.766718,3915.853029,3157.983029,757.87,1881.205289,1392.375289,safe,3384,35796,39180,2022,Madhya Pradesh
umari,1024.755059,4953.859686,4346.272635,607.587051,1335.602825,1007.756799,safe,2978,37642,40620,2022,Madhya Pradesh
akkalkuva,1163.567056,5498.585592,5142.155592,356.43,1769.508436,1412.098436,safe,1045,40383,41428,2022,Gujarat
soroncha,1212.685209,9972.622382,9972.622382,3414.604293,3306.029308,3306.029308,safe,0,78563,78563,2022,Unknown
renapur,665.6219718,4499.350391,3887.419302,611.9310882,2807.992121,2083.866642,safe,8159,38833,46992,2022,Unknown
shirol,392.7138438,11479.92798,11479.92798,3414.604293,4170.345401,4170.345401,safe,0,53273,53273,2022,Unknown
palam,698,6022.428247,5208.444474,813.9837733,3067.418623,2843.357748,safe,3031,47853,50884,2022,Unknown
aheri,1418.144721,11730.7964,11730.7964,3414.604293,1473.719846,1473.719846,safe,0,114098.49,114098.49,2022,Maharashtra
aundha,971.8041312,23402.6494,7869.04831,15533.60109,7044.735858,3810.516751,safe,35204,46757,81961,2022,Unknown
chimmur,1285.860454,5961.215132,5961.215132,3414.604293,2521.872809,2521.872809,safe,0,64777,64777,2022,Unknown
ambad,689,10038.60044,6056.951418,3981.649026,4064.608058,3388.127801,safe,14990,95895,110885,2022,Unknown
dahanu,2116.599875,4476.196281,3105.837243,1370.359038,1324.202916,1058.016934,safe,7933,44801,52734,2022,Unknown
akola,593.4604783,8789.777722,7750.833207,1038.944515,6644.189995,6162.362749,semi_critical,6011,117339,123350,2022,Maharashtra
mulshi,1697.574374,8006.093034,7071.536356,934.5566785,1570.228003,1380.307721,safe,2519.75,41881.83,44401.58,2022,Unknown
ausa,709.4684502,14724.68008,13295.1091,1429.570977,6748.917379,5982.975272,safe,7363,108828,116191,2022,Unknown
uran,2247.235941,1853.164687,1823.525655,29.63903226,161.2773018,156.6195598,safe,84,17022,17106,2022,Maharashtra
deoli,1094.364935,10669.75936,3334.715972,7335.043391,4349.605613,1749.951936,safe,42299,25879,68178,2022,Unknown
omerga,896.4774392,12974.99935,12173.3647,801.6346482,7005.075651,6480.397975,safe,6169,83318,89487,2022,Unknown
khamgaon,722.1795352,10637.99994,8250.635401,2387.364544,6918.214131,5579.683431,safe,13874,82213,96087,2022,Unknown
kalamb,1080.812335,6595.648878,5928.696585,666.9522926,2386.193053,2022.306865,safe,5705.21,57127.14,62832.35,2022,Unknown
karad,905.2494831,12649.32149,10175.41149,2473.91,7552.944696,6432.994696,safe,3579,84744,88323,2022,Unknown
mohol,634.5777233,14259.0445,9674.922993,4584.121505,11950.67865,7623.989603,semi_critical,27042,109004,136046,2022,Unknown
taloda,901.1359268,4589.418977,4218.798977,370.62,1837.873561,1560.733561,safe,304,32471,32775,2022,Unknown
etapalli,1373.476897,12972.17689,12972.17689,3414.604293,1985.636664,1985.636664,safe,0,114792.15,114792.15,2022,Unknown
jalgaon,682.8317717,5794.270582,5307.650582,185.26,6066.525777,5950.135777,over_exploited,1152,48566,54218,2022,Unknown
aurangabad,617.1662198,12822.8085,9344.249927,3478.558575,8940.786533,6686.483855,semi_critical,18298.25,129109,147407.25,2022,Maharashtra
atpadi,387.05,12782.66193,4366.33193,8416.33,6788.482317,2059.022317,safe,42578,42345,84923,2022,Unknown
umred,1253.560437,9779.047432,7875.551951,1903.495481,3424.206206,2581.891721,safe,10021,72471,82492,2022,Unknown
tumsar,1377.19156,8675.5311,3676.158236,4999.372863,3951.897976,2000.487762,safe,31059,41064,72123,2022,Unknown
manwat,946,6916.47187,3487.46338,3429.008489,2930.260645,1469.936839,safe,19000,27817,46817,2022,Unknown
mokhada,2815.286362,1376.508236,1193.661374,182.846862,178.732916,158.9639738,safe,765,16862,17627,2022,Unknown
shirala,1166.371459,7147.981249,5255.164717,1888.967143,2170.698378,2023.97695,safe,1283,57397.2,58734.27,2022,Unknown
jaoli,2155.374753,4435.134698,4141.388054,293.746644,1028.032245,899.9465659,safe,522,54693,55215,2022,Unknown
samudrapur,1122.182374,14401.4378,8397.85509,6003.582712,6344.364622,4162.350793,safe,33827,58725,92552,2022,Unknown
ardhapur,982.6230728,4194.672994,1366.382416,2828.290579,2317.619889,695.4275979,safe,15188,12988,28176,2022,Unknown
devgad,2928.36645,3909.074639,3909.074639,3414.604293,1421.999399,1421.999399,safe,0,48229.35,48229.35,2022,Unknown
morshi,845.6942059,10068.38051,8485.2436,1583.136914,9488.812007,8882.984239,over_exploited,3470,66636,70106,2022,Unknown
rajura,1281,7711.235062,7425.738575,285.4964867,1958.518018,1874.97148,safe,1933,80615,82548,2022,Unknown
washim,917.7542139,10595.2655,9083.416245,1511.84925,6088.417704,5423.226453,safe,5826.34,82419.57,88245.91,2022,Unknown
muktainagar,598.9017668,5796.445854,5687.125854,109.32,4076.733066,4012.233066,semi_critical,253,63139,63392,2022,Unknown
pusad,922.0128041,13214.88848,9247.947611,3966.940872,4529.969653,3191.03909,safe,24885.53,73554.63,98440.16,2022,Unknown
basmath,1030.275106,36475.61743,2344.188065,34131.42936,11053.43996,1188.743761,safe,64111,12325,76436,2022,Unknown
sengaon,927.283472,17045.40174,14663.64295,2381.75879,6672.941218,6168.938598,safe,11000,107121,118121,2022,Unknown
bhor,901.9505979,4247.09956,3671.259453,575.8401072,1673.34703,1612.825515,safe,1238.14,32832.1,34070.24,2022,Unknown
daravha,912.9208109,9129.118925,7884.225902,1244.893023,3611.238,3096.032162,safe,9767.39,67104.82,76872.21,2022,Unknown
degloor,958.7883226,7073.21633,6658.41633,414.8,2370.09887,2122.56887,safe,3193,63397,66590,2022,Unknown
dhanora,1496.307409,9545.954677,9545.954677,3414.604293,2443.072439,2443.072439,safe,0,75416.25,75416.25,2022,Madhya Pradesh
wadsa,1320.039858,6847.050307,3257.505522,3589.544785,1671.023378,1106.780862,safe,11584,27289,38873,2022,Unknown
sangrampur,709.3823193,4996.673113,3869.098765,602.71,4810.01233,4438.285808,over_exploited,4459,42019,51627,2022,Unknown
akkalkot,780.0415835,13976.72796,13976.72796,3414.604293,7477.300089,7477.300089,safe,0,140705,140705,2022,Karnataka
panvel,2709.48179,3061.529571,2952.114687,109.4148848,884.7030597,852.4007095,safe,346,35238,35584,2022,Unknown
omarkhed,951.5781977,15591.45518,11550.43434,4041.02084,4474.001658,3513.709369,safe,23419.76,74415.97,97835.73,2022,Unknown
tuljapur,837.7440058,18021.78937,16409.13937,1612.65,8635.146132,7608.526132,safe,8345,125876,134221,2022,Unknown
haveli,697.7503339,13559.33381,9983.894919,3575.438891,7804.161116,5661.064251,safe,15814.87,105738.78,121553.65,2022,Unknown
s.solapur,743.3737566,11109.23173,10142.00166,967.2300725,6718.472597,5897.565821,safe,6943,101472,108415,2022,Maharashtra
korchi,1636.794914,5009.662557,5009.662557,3414.604293,1227.565233,1227.565233,safe,0,38658.66,38658.66,2022,Unknown
mukhed,920.3883736,9316.145598,8531.78442,784.3611782,2353.614288,1961.897391,safe,4964,82630,87594,2022,Unknown
karanja,837.6226663,7922.397111,7314.135932,608.2611789,5155.858778,4943.666285,safe,1458.83,80427.73,81886.56,2022,Unknown
bhatkuli,758.9002805,5093.16588,417.1126822,3414.604293,6250.628007,213.8168073,safe,0,4350,57991,2022,Unknown
ashti,660,17132.38051,14053.70051,3078.68,10301.26877,8697.758767,safe,11075,132569,143644,2022,Unknown
dhamangaon railway,800.7767037,6299.75493,5871.222164,428.532766,4295.947175,4215.083754,semi_critical,1770,57922,59692,2022,Unknown
gangakhed,706.013234,8703.027764,3579.991538,5123.036227,3398.09255,2087.493425,safe,13182,38654,51836,2022,Unknown
mangaon,3092.076658,4498.05695,3560.782364,937.2745851,382.6731835,337.3648361,safe,5239,45897,51136,2022,Unknown
mouda,1222.819024,11179.09293,350.2684495,10828.82448,2940.513447,264.8792159,safe,70760,4598,75358,2022,Unknown
devani,761.2,2402.155156,2402.155156,3414.604293,992.9754368,992.9754368,safe,0,25576,25576,2022,Unknown
risod,934.8889785,12355.82136,11013.30073,1342.520629,7361.633602,6845.933913,safe,3431,81493.19,84924.19,2022,Unknown
mahagaon,947.9898862,8614.24457,7015.726283,1598.518288,4103.184088,3154.756939,safe,13319.56,58874,72193.56,2022,Madhya Pradesh
madha,655.4857603,16592.91005,14843.57018,1749.339867,12846.4351,10871.99425,semi_critical,4981.6,150951.4,155933,2022,Unknown
dharmabad,1060.648714,4345.829901,4252.673817,93.15608434,633.9428066,615.852164,safe,490,33047,33537,2022,Madhya Pradesh
mahur,1090.8,5632.778724,5461.598724,171.18,2072.628486,1995.188486,safe,1264,48554,49818,2022,Unknown
kannad,738.1273913,16658.23191,14292.05106,2366.180853,10524.17655,8979.166712,safe,9878,118169,128047,2022,Unknown
indapur,467.8883149,32997.46092,3978.715949,26455.99676,29114.49731,4982.208438,semi_critical,97050,42762.8,146762.11,2022,Unknown
nawapur,1196.011742,15691.15254,12180.34645,3510.806084,4709.755325,3578.614125,safe,7237,83715,90952,2022,Unknown
ashti,930.9958248,6032.370861,2860.738394,3171.632467,3432.286303,1887.235124,safe,24958,20977,45935,2022,Unknown
satara,1129.251314,19996.94963,9342.925442,10654.02419,8063.645927,4066.816172,safe,21282,57054,78336,2022,Unknown
naigaon,1063.040017,7329.869622,4512.148881,2817.720741,2035.411265,1038.781812,safe,14821,41739,56560,2022,Unknown
washi,782.357778,6615.915225,6300.841263,315.073962,4158.414257,3981.813622,safe,2775,50743.6,53518.6,2022,Unknown
bhudargad,1312.210728,7259.079701,6401.306521,857.7731798,3009.649677,2693.106858,safe,2186.5,47848.78,50035.28,2022,Unknown
murtizapur,815.11444,5563.583713,4866.949539,476.0641737,3969.886905,3195.834085,safe,4339.76,71050.27,76798.03,2022,Unknown
wada,2703.152604,2485.095045,2462.745045,22.35,380.1087031,375.6187031,safe,260,34359,34619,2022,Chhattisgarh
yeola,664.0627915,13048.1838,9097.46236,3950.721444,9555.18974,7470.506471,semi_critical,14871,82115,96986,2022,Unknown
